\Company,location,province,tag
Darplast Extrusion S.r.l.,Limbiate,Lombardy
DBInformation S.p.A.,Milano,Lombardy
DDL srl,Bibbiano,Italien,,
DeCoSystem S.r.l.,Calenzanzo,Tuscany
DELIA srl,CesanoBoscone,LombardyRubber & TPE
Dimontonate Floccati SpA,MontonatediMornago,LombardyRubber & TPE
Dioma srl,Vicenza,Italien,,
Donau Carbon Technologies S.r.l.,Guanzate,Lombardy
Doteco S.p.A.,SanMartinoSpino,Emilia-Romagna
Eco-plast Srl,Isorella,Lombardy
EDILTECO S.p.A.,SanFeliceSulPanaro,Emilia-Romagna
Eigenmann & Veronelli S.p.A.,Rho,LombardyRubber & TPE
Elachem S.p.A.,Vigevano,LombardyRubber & TPE
Elastotech S.r.l.,CastelliCalepio,Italien,,Rubber & TPE
ELAV S.r.l.,Cameri,Piedmont
Elba S.p.A.,Magnago,Lombardy
Electronic Systems S.p.A.,Momo,PiedmontRubber & TPE
ELESA S.p.A.,Monza,Lombardy
Elio Cavagna S.r.l.,Galgagnano,Lombardy
Engin Plast S.r.l.,Bondeno,Emilia-Romagna
Epaflex Polyurethanes Spa,Cassolnovo,Italien,,Rubber & TPE
EPISTOLIO s.r.l.,Varese,Italien,,
Eprotech Srl,LonateCeppino,Italien,,
EPTANOVA,Luisago,Italien,,
Ergomec S.r.l.,Borgoricco,VenetoRubber & TPE
Erimaki S.N.C.,PadernoDugnano,Lombardy
Ermanno Balzi s.r.l.,Mazzano,Lombardy
ESAMETAL s.r.l.,ColognaVeneta,Italien,,
Esistampi s.r.l.,MonteRoberto,Italien,,
EURO COMMERCIALE S.p.A.,Prato,Italien,,Rubber & TPE
Euro Stampi S.r.l.,Jesi,Marche
Eurochiller S.r.l.,Castellod'Agogna,Lombardy
Eurofoam S.r.l.,Lainate,LombardyRubber & TPE
Euromac S.r.l.,VillanovaMonferrato,Piedmont
Europlast srls,Camerano,Marche
Eurotech Extrusion Machinery S.R.L.,VenegonoSuperiore,Italien,,
Euroviti S.r.l.,CazzagoSanMartino,LombardyRubber & TPE
Everkem Srl.,Ravenna,Italien,,Rubber & TPE
Exact S.r.l. Film Granulators,Zingonia,Lombardy
EXPERT S.r.l.,S.MartinoBuonAlbergo,Veneto
F.lli Maris SPA,Rosta,PiedmontRubber & TPE
F.lli Virginio S.r.l.,Arzignano,Veneto
FAINPLAST S.r.l.,AscoliPiceno,MarcheRubber & TPE
FAP S.r.l.,BesanainBrianza,Lombardy
Farcon S.r.l.,SolbiateconCagno,Lombardy
FASTOSI S.R.L.,Gerenzano,Italien,,
FB BALZANELLI spa,Milano,Italien,,
FERRARINI & BENELLI s.r.l. Corona and Plasma,Romanengo,Lombardy
Filtec S.r.l.,BadiaPolesine,Italien,,Rubber & TPE
FIMIC Srl.,CarmignanodiBrenta,VenetoPremium-Aussteller
Finproject S.p.A.,AscoliPiceno,Italien,,
Fluorseals S.p.A.,GrumellodelMonte,Lombardy
FOR REC S.R.L.,SantaGiustinainColle,Italien,,Rubber & TPE
Forever Plast S.p.A.,Lograto,Lombardy
FPservices srl,ToscanelladiDozza,Italien,,
Francesco Franceschetti Elastomeri Srl,CorteFranca,Lombardy
Franplast S.p.A.,Provagliod'Iseo,LombardyRubber & TPE
Frigel Firenze S.p.A.,Scandicci,Tuscany
Frigosystem S.r.l.,CaronnoPertusella,Lombardy
Frilvam S.p.a.,Nerviano,Lombardy
FRIMEC S.r.l.,Nuvolento,Lombardy
Friul Filiere S.p.A.,Buia,Friuli-VeneziaGiulia
Friulair srl,CervignanodelFriuli,Italien,,Premium-Aussteller
Futura Stampi S.r.l.,Monteroberto,Marche
G3 Srl,CasteldiLama,MarcheRubber & TPE
GA.VO. MECCANICA S.R.L.,Larciano,Tuscany
Galdabini S.p.A.,CardanoalCampo,LombardyRubber & TPE
GAMA INTERNATIONAL Srl,Milano,Italien,,
Gamma Meccanica S.p.A.,Bibbiano,Emilia-Romagna
Gammacril S.r.l.,Nerviano,LombardyPremium-Aussteller
GAP S.r.l.,Trecate,Piedmont
Gauss Magneti S.r.l.,Brescia,Italien,,
GEAF S.P.A.,Calestano,Emilia-Romagna
Gefit S.p.A.,Alessandria,Italien,,
Gefran S.p.A.,Provagliod'Iseo,Lombardy
GEVACRIL s.r.l.,Melzo,Italien,,
Ghilardi Stampi S.r.l.,ColognoMonzese,Lombardy
Gianeco srl,Torino,Italien,,Rubber & TPE
GIBITRE Instruments S.r.l.,Bergamo,Italien,,Rubber & TPE
GIMA S.p.A. a Company of IMA Group,ZolaPredosa,Emilia-Romagna
GIMAC di Maccagnan Giorgio Medical Device Extrusion Systems,Castronno,LombardyRubber & TPE
Gimatic S.r.l.,Roncadelle,Lombardy
Gitre S.r.l.,Bellusco,Lombardy
Giugni S.r.l.,Modena,Italien,,
GIURGOLA STAMPI SRL,Briosco,Italien,,
Gnata Filippo S.r.l. Officina Costruzioni Meccaniche,TorreBoldone,Lombardy
Govoni Simo Bianca Impianti S.r.l. (GSBI),CalderaradiReno,Emilia-RomagnaRubber & TPE
GP DI PIAZZON S.r.l.,Valdagno,VenetoRubber & TPE
GRAFICHE LAMA SRL,Piacenza,Italien,,
Grafikontrol S.p.A.,Milano,Lombardy
Gruniverpal S.r.l,Piasco,Piedmont
GUIDOLIN GIROTTO SRL,Vigevano,Italien,,Rubber & TPE
Helios Italquartz S.r.l.,Cambiago,Lombardy
Hennecke-OMS S.p.A.,VeranoBrianza,Italien,,
Heroflon S.p.A.,Collebeato,Italien,,
HRSflow,Treviso,Veneto
I.Blu s.r.l.,PasiandiPrato,Italien,,
I.S.T Italia Sistemi Tecnologici S.p.A.,Modena,Italien,,
I.T.S. Ital Trade Services S.r.l.,Genova,Italien,,
ICMA San Giorgio S.p.A.,SanGiorgiosuLegnano,LombardyRubber & TPE
iHR srl,Ancona,Italien,,
IMAC Tecnologie srl,Muggiò,Italien,,
Imanpack Packaging and Eco Solutions S.p.A.,Schio,Veneto
IMI FABI S.p.A.,Milano,Italien,,
IMS TECHNOLOGIES SPA,Calcinate,Lombardy
IMS TECHNOLOGIES SPA - DIVISION ROTOMAC,Calcinate,Lombardy
Incos Stampi S.r.l.,Cupramontana,Marche
Industrial Frigo S.r.l.,Calcinato,Lombardy
INTERPOLIMERI SPA,Limenapd,Italien,,
IPM S.r.l.,Lugo,Emilia-RomagnaPremium-Aussteller
IR GROUP S.r.l.,Ancona,Marche
